elapsed_seconds,distance_miles,pace_per_mile,heartrate,altitude_ft
0,0.0,,63,173.2
1,0.0,,63,173.2
2,0.0,,110,173.2
3,0.0,,110,173.2
4,0.0,46:38,67,173.2
5,0.0,29:09,68,173.2
6,0.0,19:26,69,173.2
7,0.0,19:26,70,173.2
8,0.0,19:26,71,172.6
9,0.0,29:09,72,172.6
10,0.0,58:18,73,172.6
11,0.0,,73,172.6
12,0.01,43:15,73,172.6
13,0.01,19:26,73,172.6
14,0.01,13:24,73,172.6
15,0.01,11:21,73,171.9
16,0.01,9:07,73,171.9
17,0.01,9:38,73,171.9
18,0.02,9:18,74,171.9
19,0.02,8:22,74,171.9
20,0.02,8:01,74,171.9
21,0.02,8:32,74,171.9
22,0.02,8:16,75,171.9
23,0.03,9:30,75,171.9
24,0.03,10:54,76,171.9
25,0.03,10:48,78,171.9
26,0.03,10:28,80,171.9
27,0.03,10:54,82,171.3
28,0.03,10:33,86,171.3
29,0.04,11:39,90,171.3
30,0.04,12:53,94,171.3
31,0.04,13:16,100,170.6
32,0.04,13:58,104,171.3
33,0.04,14:54,108,170.6
34,0.04,14:07,112,171.3
35,0.04,13:01,116,170.6
36,0.04,12:18,118,170.6
37,0.05,11:16,120,170.6
38,0.05,10:54,121,170.6
39,0.05,10:33,121,170.6
40,0.05,10:33,124,170.6
41,0.05,10:38,124,170.6
42,0.05,10:48,123,169.9
43,0.06,10:54,125,169.9
44,0.06,10:59,126,169.9
45,0.06,10:59,126,169.9
46,0.06,10:59,127,169.9
47,0.06,11:27,127,169.9
48,0.06,11:21,127,169.9
49,0.06,11:39,126,169.9
50,0.07,11:39,127,169.3
51,0.07,11:27,127,169.3
52,0.07,10:48,127,169.3
53,0.07,10:43,127,169.3
54,0.07,10:33,127,169.3
55,0.07,10:28,126,168.6
56,0.07,11:05,126,168.6
57,0.08,11:58,126,168.6
58,0.08,12:18,127,168.0
59,0.08,13:16,126,168.0
60,0.08,14:34,125,168.0
61,0.08,15:24,123,168.6
62,0.08,15:24,123,168.0
63,0.08,15:35,123,168.0
64,0.08,14:34,123,168.0
65,0.09,13:32,123,168.0
66,0.09,12:46,123,168.0
67,0.09,12:25,123,168.0
68,0.09,12:32,123,168.0
69,0.09,13:01,123,168.0
70,0.09,13:16,123,168.0
71,0.09,13:08,123,168.0
72,0.09,12:46,123,168.0
73,0.1,12:11,123,168.6
74,0.1,11:39,124,168.6
75,0.1,11:21,124,168.6
76,0.1,11:21,125,168.0
77,0.1,11:27,125,168.0
78,0.1,11:27,126,168.0
79,0.1,11:33,126,168.0
80,0.11,11:33,126,168.0
81,0.11,11:33,126,167.3
112,0.11,308:18,104,166.0
113,0.11,406:24,104,166.0
114,0.11,201:40,103,166.0
115,0.11,126:31,102,166.0
116,0.11,89:24,101,166.0
117,0.12,89:24,105,166.0
118,0.12,9:56,107,165.4
119,0.12,9:34,109,165.4
120,0.12,10:05,110,165.4
121,0.12,11:05,112,165.4
122,0.12,11:52,112,164.7
123,0.12,12:39,112,165.4
124,0.12,13:16,112,165.4
125,0.13,13:16,111,165.4
126,0.13,13:08,111,165.4
127,0.13,12:53,111,165.4
