elapsed_seconds,distance_miles,pace_per_mile,heartrate,altitude_ft
0,0.0,,73,179.1
1,0.0,13:24,70,179.1
2,0.0,11:39,71,178.5
3,0.0,11:39,71,179.1
4,0.01,11:17,71,179.1
5,0.01,11:27,71,179.1
6,0.01,11:05,72,179.8
7,0.01,11:05,72,179.8
8,0.01,10:54,72,179.8
9,0.01,10:59,73,179.1
10,0.01,10:48,74,179.1
11,0.02,10:54,75,179.1
12,0.02,10:59,76,179.1
13,0.02,11:21,78,178.5
14,0.02,12:25,81,178.5
15,0.02,12:53,84,178.5
16,0.02,13:16,88,178.5
17,0.02,13:49,92,178.5
18,0.03,13:16,95,179.1
19,0.03,12:11,100,179.8
20,0.03,11:39,102,179.8
21,0.03,11:21,105,179.8
22,0.03,11:16,108,179.8
23,0.03,11:21,110,179.8
24,0.03,11:21,112,179.1
25,0.04,11:33,114,179.1
26,0.04,11:27,115,179.1
27,0.04,11:33,117,179.1
28,0.04,11:16,118,179.1
29,0.04,11:45,119,179.1
30,0.04,11:52,120,179.8
31,0.04,11:45,119,179.8
32,0.05,11:33,120,180.4
33,0.05,12:25,121,180.4
34,0.05,11:58,121,180.4
35,0.05,11:52,122,181.1
36,0.05,11:52,122,180.4
37,0.05,11:52,122,180.4
38,0.05,11:39,123,180.4
39,0.06,11:33,123,179.8
40,0.06,11:58,124,179.8
41,0.06,11:52,124,179.8
42,0.06,11:45,124,180.4
43,0.06,11:21,124,180.4
44,0.06,11:21,125,181.1
45,0.06,11:33,126,181.1
46,0.07,11:05,127,181.1
47,0.07,10:18,127,181.1
48,0.07,9:38,128,180.4
49,0.07,9:38,128,180.4
50,0.07,9:07,128,179.8
51,0.07,9:18,129,179.8
52,0.08,10:00,129,179.8
53,0.08,11:27,128,179.8
54,0.08,12:11,128,180.4
55,0.08,13:08,129,180.4
56,0.08,14:34,129,180.4
57,0.08,14:44,129,180.4
58,0.08,14:16,129,180.4
59,0.08,13:58,129,180.4
60,0.09,13:24,129,180.4
61,0.09,12:53,129,180.4
62,0.09,13:24,130,180.4
63,0.09,12:46,130,180.4
64,0.09,12:46,130,180.4
65,0.09,12:39,130,180.4
66,0.09,12:32,130,180.4
67,0.1,12:11,130,180.4
