elapsed_seconds,distance_miles,pace_per_mile,heartrate,altitude_ft
0,0.0,,95,154.2
1,0.0,,95,153.5
2,0.0,9:56,95,152.9
3,0.01,9:41,97,152.9
4,0.01,9:29,101,152.9
5,0.01,9:26,103,152.9
6,0.01,9:11,104,152.9
7,0.01,9:07,105,152.9
8,0.02,9:07,106,152.9
9,0.02,9:11,107,152.9
10,0.02,9:07,108,152.9
11,0.02,9:11,108,153.5
12,0.02,9:07,108,153.5
13,0.02,9:07,107,154.2
14,0.03,9:03,108,154.2
15,0.03,9:07,108,154.2
16,0.03,9:07,109,154.2
17,0.03,9:11,112,154.9
18,0.03,9:11,113,154.9
19,0.04,9:18,116,154.9
20,0.04,9:22,117,155.5
21,0.04,9:26,119,155.5
22,0.04,9:30,119,155.5
23,0.04,9:34,121,156.2
24,0.04,9:30,120,156.2
25,0.05,9:26,121,156.8
26,0.05,9:22,122,157.5
27,0.05,9:18,122,157.5
28,0.05,9:18,123,158.1
29,0.05,9:22,124,158.8
30,0.05,9:26,124,159.4
31,0.06,9:26,124,159.4
32,0.06,9:30,125,160.1
33,0.06,9:30,126,160.1
34,0.06,9:30,126,160.8
35,0.06,9:34,127,160.8
36,0.07,9:38,127,161.4
37,0.07,9:38,127,161.4
38,0.07,9:38,128,162.7
39,0.07,9:38,128,163.4
40,0.07,9:38,127,163.4
41,0.07,9:38,128,164.0
42,0.08,9:47,128,164.0
43,0.08,9:56,128,164.0
44,0.08,10:00,129,164.0
45,0.08,10:05,129,164.0
46,0.08,10:09,129,164.0
47,0.08,10:09,129,164.0
48,0.09,10:09,129,164.0
49,0.09,10:14,129,164.7
50,0.09,10:09,128,165.4
51,0.09,10:09,127,165.4
52,0.09,10:05,128,166.7
53,0.09,10:00,128,167.3
54,0.1,9:56,128,168.0
55,0.1,9:56,129,168.0
56,0.1,9:56,129,168.6
57,0.1,9:56,130,169.3
58,0.1,9:56,130,169.9
59,0.1,9:56,131,170.6
60,0.11,10:00,131,171.3
61,0.11,10:00,131,171.3
62,0.11,9:56,131,171.3
63,0.11,9:51,132,171.9
64,0.11,9:47,131,171.9
65,0.11,9:34,132,171.9
66,0.12,9:26,132,171.9
67,0.12,9:22,132,172.6
68,0.12,9:18,133,172.6
69,0.12,9:14,133,172.6
70,0.12,9:14,133,172.6
71,0.12,9:11,133,172.6
72,0.13,9:11,133,172.6
73,0.13,9:14,132,172.6
74,0.13,9:14,133,173.2
75,0.13,9:14,133,173.9
76,0.13,9:22,133,174.5
77,0.14,9:26,133,175.2
78,0.14,9:26,134,175.9
79,0.14,9:30,133,176.5
80,0.14,10:48,133,177.2
81,0.14,12:25,133,177.8
82,0.14,14:34,133,178.5
83,0.14,17:38,133,178.5
84,0.14,19:26,133,178.5
85,0.14,20:19,134,178.5
86,0.15,16:58,134,178.5
87,0.15,15:24,134,178.5
88,0.15,14:44,134,178.5
89,0.15,15:14,135,179.1
90,0.15,13:32,135,179.8
91,0.15,14:25,135,179.8
92,0.15,13:58,135,179.8
93,0.15,12:39,135,180.4
94,0.16,12:04,134,180.4
95,0.16,11:39,134,180.4
96,0.16,11:33,134,180.4
97,0.16,12:18,134,180.4
98,0.16,12:53,134,181.1
99,0.16,13:58,134,181.1
100,0.16,15:14,135,181.1
101,0.16,16:21,136,181.1
102,0.16,15:14,136,181.1
103,0.17,14:25,136,181.1
104,0.17,13:24,136,181.1
105,0.17,12:11,136,181.8
106,0.17,11:21,136,181.8
107,0.17,11:39,136,182.4
108,0.17,12:11,136,182.4
109,0.17,12:53,136,183.1
110,0.18,14:25,136,183.1
111,0.18,14:54,136,183.1
112,0.18,14:44,136,183.1
113,0.18,15:35,136,182.4
114,0.18,15:57,136,182.4
115,0.18,15:14,134,182.4
116,0.18,14:34,133,183.1
117,0.18,14:34,132,183.7
118,0.19,12:46,132,183.7
119,0.19,11:52,132,183.7
120,0.19,11:39,132,183.7
121,0.19,11:58,133,183.7
122,0.19,12:32,134,183.7
123,0.19,13:16,134,184.4
124,0.19,13:32,134,184.4
125,0.19,13:24,134,184.4
126,0.2,13:08,135,184.4
127,0.2,12:46,135,184.4
128,0.2,12:39,135,184.4
129,0.2,12:25,135,184.4
130,0.2,13:01,135,183.7
131,0.2,13:01,135,183.7
132,0.2,13:01,135,183.7
133,0.2,12:53,135,183.7
134,0.21,12:25,136,183.7
135,0.21,11:39,137,183.1
136,0.21,11:39,137,183.1
137,0.21,11:33,138,182.4
138,0.21,11:58,138,182.4
139,0.21,12:46,138,182.4
140,0.21,12:32,139,182.4
141,0.22,12:11,139,182.4
142,0.22,11:52,140,182.4
143,0.22,11:45,140,183.1
144,0.22,11:39,140,183.1
145,0.22,12:25,140,183.1
146,0.22,13:01,139,183.1
147,0.22,13:08,140,183.1
148,0.22,12:53,140,183.7
149,0.23,12:32,140,183.7
150,0.23,12:25,140,184.4
151,0.23,12:04,140,184.4
152,0.23,12:32,139,184.4
153,0.23,13:24,139,184.4
154,0.23,13:49,137,183.7
155,0.23,14:07,138,183.7
156,0.23,14:25,137,183.1
157,0.24,14:25,136,183.1
158,0.24,13:24,134,183.1
159,0.24,13:01,133,182.4
160,0.24,12:39,133,182.4
161,0.24,12:18,132,182.4
162,0.24,11:10,131,182.4
163,0.24,11:27,129,181.8
164,0.25,11:52,120,181.8
165,0.25,11:52,119,182.4
166,0.25,12:18,120,183.1
167,0.25,12:46,120,183.1
168,0.25,12:39,120,183.7
169,0.25,11:27,121,183.7
170,0.25,10:54,121,183.1
171,0.26,10:33,121,182.4
172,0.26,10:23,124,181.8
173,0.26,10:38,126,181.8
174,0.26,12:04,129,181.8
175,0.26,13:41,132,181.8
176,0.26,15:24,133,181.8
177,0.26,17:11,134,181.8
178,0.26,17:25,135,181.8
179,0.27,16:21,136,181.8
180,0.27,15:24,136,181.8
181,0.27,13:41,136,181.8
182,0.27,13:24,137,181.8
183,0.27,12:53,137,181.8
184,0.27,12:39,138,181.8
185,0.27,11:39,138,181.1
186,0.27,11:52,137,181.1
187,0.28,11:33,135,181.1
188,0.28,11:16,134,180.4
189,0.28,11:52,134,180.4
190,0.28,12:46,134,180.4
191,0.28,13:08,134,179.8
192,0.28,13:32,134,179.8
193,0.28,13:58,133,179.8
194,0.29,13:01,133,179.8
195,0.29,12:53,132,179.1
196,0.29,12:39,133,179.1
197,0.29,13:08,132,178.5
198,0.29,12:46,132,178.5
199,0.29,12:53,131,178.5
200,0.29,12:46,131,178.5
201,0.29,12:46,132,177.8
202,0.3,12:11,132,177.8
203,0.3,13:01,132,177.8
204,0.3,13:16,131,177.2
205,0.3,13:16,131,177.2
206,0.3,13:08,130,177.8
207,0.3,12:53,130,177.8
208,0.3,12:18,129,177.8
209,0.3,11:58,130,177.8
210,0.31,11:33,130,177.8
211,0.31,11:33,130,177.8
212,0.31,11:39,129,177.8
213,0.31,11:52,130,177.8
214,0.31,12:18,130,177.8
215,0.31,13:01,131,177.8
216,0.31,13:49,132,177.2
217,0.31,14:25,132,177.2
218,0.32,14:44,132,176.5
219,0.32,14:25,133,175.9
220,0.32,14:07,134,175.2
221,0.32,13:24,135,175.2
222,0.32,12:46,136,174.5
223,0.32,12:53,136,174.5
224,0.32,13:08,136,174.5
225,0.33,12:53,135,174.5
226,0.33,13:16,134,175.2
227,0.33,13:41,135,175.9
228,0.33,13:41,135,175.9
229,0.33,13:49,135,175.9
230,0.33,14:34,135,175.9
231,0.33,14:07,135,175.9
232,0.33,13:49,134,175.9
233,0.34,12:46,134,175.2
234,0.34,12:39,135,175.2
235,0.34,12:39,135,175.9
236,0.34,12:18,135,175.9
237,0.34,12:46,135,175.9
238,0.34,13:16,135,175.9
239,0.34,13:08,135,175.9
240,0.34,13:24,135,175.9
241,0.35,13:32,135,175.9
242,0.35,12:53,135,176.5
243,0.35,12:53,137,176.5
244,0.35,12:32,137,177.2
245,0.35,11:39,137,177.2
246,0.35,11:39,137,177.2
247,0.35,11:21,137,177.2
248,0.36,11:16,137,177.2
249,0.36,11:27,137,177.2
250,0.36,11:52,137,177.8
251,0.36,11:58,138,178.5
252,0.36,12:25,138,178.5
253,0.36,12:39,137,179.1
254,0.36,13:01,138,179.1
255,0.36,13:16,138,179.1
256,0.37,13:49,138,179.1
257,0.37,14:25,138,179.8
258,0.37,15:04,138,179.8
259,0.37,13:49,137,179.8
260,0.37,13:41,138,179.8
261,0.37,13:16,137,179.8
262,0.37,12:46,137,179.8
263,0.37,11:58,138,179.8
264,0.38,12:46,138,179.8
265,0.38,12:39,138,179.8
266,0.38,12:25,137,180.4
267,0.38,11:39,137,180.4
268,0.38,11:45,137,181.1
269,0.38,10:54,137,181.8
270,0.38,10:28,137,182.4
271,0.39,10:23,137,182.4
272,0.39,10:33,138,182.4
273,0.39,10:54,138,182.4
274,0.39,11:39,138,182.4
275,0.39,11:52,138,182.4
276,0.39,12:04,138,182.4
277,0.39,12:25,139,183.1
278,0.4,11:45,140,183.1
279,0.4,11:33,139,183.1
280,0.4,11:52,138,183.1
281,0.4,12:11,138,182.4
282,0.4,12:32,138,182.4
283,0.4,12:53,137,182.4
284,0.4,13:16,137,182.4
285,0.4,13:49,137,182.4
286,0.41,13:32,135,182.4
287,0.41,13:41,136,181.8
288,0.41,13:41,135,181.8
289,0.41,13:24,136,181.8
290,0.41,12:25,136,181.8
291,0.41,12:25,137,181.8
292,0.41,12:11,137,181.8
293,0.42,12:18,137,181.1
294,0.42,11:58,138,181.1
295,0.42,12:18,137,181.1
296,0.42,12:04,138,180.4
297,0.42,11:58,138,180.4
298,0.42,11:27,138,180.4
299,0.42,11:39,139,180.4
300,0.43,11:33,140,180.4
301,0.43,11:45,141,180.4
302,0.43,11:45,141,180.4
303,0.43,11:58,140,180.4
304,0.43,11:52,141,180.4
305,0.43,11:58,141,180.4
306,0.43,11:52,141,180.4
307,0.44,11:27,141,180.4
308,0.44,11:39,141,181.1
309,0.44,11:58,140,181.1
310,0.44,11:39,141,181.1
311,0.44,11:39,140,181.1
312,0.44,11:58,141,181.1
313,0.44,11:45,141,181.1
314,0.45,11:21,141,181.1
315,0.45,11:33,141,180.4
316,0.45,11:10,142,179.8
317,0.45,11:21,142,179.8
318,0.45,11:39,142,179.1
319,0.45,11:58,142,179.1
320,0.45,12:18,141,179.1
321,0.46,12:18,142,179.8
322,0.46,12:04,142,179.8
323,0.46,11:39,142,180.4
324,0.46,11:10,142,181.1
325,0.46,10:33,141,181.1
326,0.46,10:09,140,181.1
327,0.46,10:05,140,181.1
328,0.47,9:51,140,181.8
329,0.47,9:47,140,181.8
330,0.47,10:09,140,183.1
331,0.47,10:59,140,183.1
332,0.47,11:05,140,183.7
333,0.47,11:52,140,183.1
334,0.47,12:32,140,182.4
335,0.48,12:32,140,181.8
336,0.48,12:04,140,181.1
337,0.48,11:39,141,181.1
338,0.48,11:33,141,181.1
339,0.48,11:33,141,181.8
340,0.48,11:21,141,182.4
341,0.48,11:52,141,183.1
342,0.49,12:39,142,183.7
343,0.49,12:11,142,184.4
344,0.49,12:11,143,185.0
345,0.49,12:11,143,185.0
346,0.49,12:18,143,184.4
347,0.49,12:32,143,184.4
348,0.49,13:01,143,184.4
349,0.49,14:07,144,185.0
350,0.5,15:04,144,185.0
351,0.5,15:14,143,185.7
352,0.5,15:04,143,186.4
353,0.5,15:14,142,186.4
354,0.5,13:49,142,186.4
355,0.5,13:32,143,186.4
356,0.5,13:08,143,187.0
357,0.5,13:16,143,187.0
358,0.51,13:01,144,187.0
359,0.51,11:58,143,187.0
360,0.51,11:39,144,187.0
361,0.51,11:21,144,187.0
362,0.51,10:59,144,187.7
363,0.51,11:33,144,187.7
364,0.51,12:39,144,188.3
365,0.52,13:24,145,188.3
366,0.52,14:16,144,189.0
367,0.52,14:54,145,189.0
368,0.52,15:14,145,189.0
369,0.52,15:46,145,189.6
370,0.52,14:16,145,189.6
371,0.52,13:41,145,190.3
372,0.52,13:16,145,190.3
373,0.53,11:10,145,190.9
374,0.53,10:18,146,190.9
375,0.53,10:14,145,190.9
376,0.53,10:09,145,190.9
377,0.53,9:47,145,190.9
378,0.53,10:14,144,190.9
379,0.54,10:59,144,191.6
380,0.54,11:52,144,191.6
381,0.54,12:18,144,192.3
382,0.54,13:08,145,192.3
383,0.54,13:49,145,192.3
384,0.54,13:16,146,192.9
385,0.54,13:24,146,192.9
386,0.54,13:24,146,192.9
387,0.54,13:58,146,193.6
388,0.55,16:21,146,193.6
389,0.55,18:22,147,194.2
390,0.55,17:52,145,194.2
391,0.55,16:21,145,194.9
392,0.55,14:16,145,194.9
393,0.55,12:32,145,194.9
394,0.55,11:33,145,194.9
395,0.55,11:27,145,194.2
396,0.56,12:04,145,194.2
397,0.56,13:08,145,194.9
398,0.56,13:49,146,194.9
399,0.56,14:25,146,195.5
400,0.56,14:34,146,195.5
401,0.56,14:44,146,196.2
402,0.56,14:25,145,196.2
403,0.56,13:24,145,196.2
404,0.57,13:01,145,196.2
405,0.57,12:18,145,196.2
406,0.57,11:33,145,196.2
407,0.57,10:59,144,196.2
408,0.57,10:48,144,196.2
409,0.57,10:48,144,196.9
410,0.57,11:39,143,196.9
411,0.58,12:39,145,196.9
412,0.58,13:49,143,197.5
413,0.58,14:34,143,197.5
414,0.58,15:24,144,198.2
415,0.58,15:14,144,198.2
416,0.58,14:25,143,198.8
417,0.58,13:49,143,198.8
418,0.58,14:25,144,198.8
419,0.58,15:14,145,198.8
420,0.59,15:57,145,198.8
421,0.59,16:21,144,198.8
422,0.59,16:21,145,199.5
423,0.59,15:14,145,200.1
424,0.59,13:16,146,201.4
425,0.59,12:25,145,201.4
426,0.59,12:18,146,202.1
427,0.59,12:25,147,202.1
428,0.6,12:46,147,202.1
429,0.6,13:08,147,202.1
430,0.6,12:53,147,202.1
431,0.6,12:39,147,201.4
432,0.6,11:33,146,201.4
433,0.6,10:54,146,201.4
434,0.6,10:18,146,201.4
435,0.61,10:18,145,201.4
436,0.61,10:28,145,201.4
437,0.61,10:48,144,201.4
438,0.61,10:33,145,200.8
439,0.61,10:18,145,200.8
440,0.61,9:43,145,200.8
441,0.62,9:30,145,200.8
442,0.62,9:38,145,200.8
443,0.62,10:05,146,200.1
444,0.62,11:27,145,200.1
445,0.62,12:46,146,199.5
446,0.62,13:01,146,199.5
447,0.62,13:08,146,199.5
448,0.63,12:25,146,198.8
449,0.63,11:33,146,198.8
450,0.63,10:54,146,198.2
451,0.63,10:23,146,198.2
452,0.63,10:09,145,197.5
453,0.63,10:48,145,196.9
454,0.64,10:54,145,196.9
455,0.64,10:59,145,196.9
456,0.64,11:16,145,196.2
457,0.64,11:33,145,196.2
458,0.64,10:59,145,196.2
459,0.64,10:48,146,195.5
460,0.64,10:14,146,195.5
461,0.65,10:05,147,195.5
462,0.65,10:14,147,195.5
463,0.65,10:09,146,195.5
464,0.65,10:18,146,194.9
465,0.65,10:43,145,195.5
466,0.65,11:58,146,195.5
467,0.65,12:18,146,195.5
468,0.66,12:39,146,196.2
469,0.66,13:01,146,196.9
470,0.66,13:32,146,196.9
471,0.66,12:25,147,197.5
472,0.66,11:58,146,197.5
473,0.66,11:58,146,197.5
474,0.66,11:16,147,197.5
475,0.67,11:10,145,197.5
476,0.67,11:05,146,197.5
477,0.67,10:59,146,197.5
478,0.67,10:33,146,197.5
479,0.67,10:38,146,196.9
480,0.67,10:33,145,196.2
481,0.68,10:14,145,196.2
482,0.68,10:28,145,195.5
483,0.68,11:21,145,195.5
484,0.68,11:33,145,195.5
485,0.68,11:58,146,196.2
486,0.68,12:39,146,196.2
487,0.68,13:24,146,196.2
488,0.68,13:01,146,196.2
489,0.69,12:53,146,196.2
490,0.69,12:18,146,196.2
491,0.69,12:04,146,196.2
492,0.69,10:59,146,196.2
493,0.69,11:05,145,196.2
494,0.69,11:05,145,196.2
495,0.7,11:21,144,196.2
496,0.7,11:39,145,196.2
497,0.7,11:45,145,195.5
498,0.7,12:04,145,195.5
499,0.7,12:53,147,195.5
500,0.7,13:08,147,195.5
501,0.7,13:32,147,195.5
502,0.7,14:16,147,195.5
503,0.71,13:49,147,195.5
504,0.71,12:46,147,195.5
505,0.71,12:04,147,195.5
506,0.71,11:45,147,195.5
507,0.71,11:10,147,195.5
508,0.71,10:54,147,195.5
509,0.71,11:10,147,195.5
510,0.72,11:39,147,194.9
511,0.72,11:39,148,194.9
512,0.72,12:11,148,194.2
513,0.72,12:32,147,194.2
514,0.72,12:39,147,194.2
515,0.72,12:39,147,194.2
516,0.72,12:25,146,194.2
517,0.72,12:11,146,194.2
518,0.73,12:04,146,193.6
519,0.73,12:32,146,193.6
520,0.73,12:39,146,193.6
521,0.73,12:53,146,193.6
522,0.73,13:01,146,192.9
523,0.73,12:39,145,192.9
524,0.73,12:25,144,192.9
525,0.74,11:45,143,192.9
526,0.74,11:27,140,193.6
527,0.74,11:10,137,193.6
528,0.74,11:33,132,194.2
529,0.74,11:39,129,194.2
530,0.74,11:52,125,194.2
531,0.74,12:11,127,193.6
532,0.75,12:39,127,193.6
533,0.75,12:18,127,193.6
534,0.75,12:25,127,193.6
535,0.75,12:32,127,192.9
536,0.75,12:18,128,192.9
537,0.75,12:39,128,192.9
538,0.75,13:01,128,192.9
539,0.75,13:08,128,192.9
540,0.76,13:16,128,192.9
541,0.76,13:16,128,193.6
542,0.76,11:58,128,193.6
543,0.76,11:33,128,193.6
544,0.76,11:05,128,193.6
545,0.76,10:59,128,193.6
546,0.76,11:10,128,193.6
547,0.77,11:39,128,192.9
548,0.77,12:11,128,192.9
549,0.77,12:11,128,192.9
550,0.77,11:45,128,192.3
551,0.77,11:39,128,192.3
552,0.77,11:27,129,192.3
553,0.77,11:16,129,192.3
554,0.78,11:21,129,192.3
555,0.78,11:58,130,192.3
556,0.78,11:58,131,191.6
557,0.78,11:58,132,190.9
558,0.78,12:11,134,190.9
559,0.78,12:32,135,190.9
560,0.78,12:25,137,190.9
561,0.79,12:39,139,191.6
562,0.79,13:41,141,191.6
563,0.79,13:58,143,191.6
564,0.79,13:58,143,192.3
565,0.79,13:58,144,192.3
566,0.79,13:58,144,192.3
567,0.79,13:08,145,192.3
568,0.79,12:53,145,192.3
569,0.8,12:53,145,192.3
570,0.8,12:46,146,192.3
571,0.8,11:52,146,192.3
572,0.8,11:33,147,192.3
573,0.8,11:27,146,192.3
574,0.8,10:54,146,192.9
575,0.8,10:54,146,192.9
576,0.81,11:33,144,192.9
577,0.81,11:21,143,193.6
578,0.81,11:21,143,193.6
579,0.81,11:21,144,194.2
580,0.81,10:59,143,193.6
581,0.81,10:54,142,193.6
582,0.81,11:10,141,193.6
583,0.82,10:38,140,193.6
584,0.82,11:16,140,193.6
585,0.82,11:52,140,193.6
586,0.82,12:04,140,193.6
587,0.82,12:25,139,192.9
588,0.82,13:16,139,192.9
589,0.82,12:53,139,192.9
590,0.82,14:16,139,192.9
591,0.83,14:44,139,192.9
592,0.83,15:24,139,192.9
593,0.83,15:35,139,192.9
594,0.83,15:35,138,192.9
595,0.83,14:34,139,192.9
596,0.83,14:16,139,192.9
597,0.83,14:44,140,193.6
598,0.83,13:58,139,193.6
599,0.84,13:58,139,194.2
600,0.84,12:53,139,194.2
601,0.84,12:39,138,194.2
602,0.84,11:58,137,194.2
603,0.84,12:11,137,194.2
604,0.84,12:18,137,194.2
605,0.84,12:32,136,194.9
606,0.84,12:18,136,194.2
607,0.85,12:46,136,194.2
608,0.85,13:01,137,193.6
609,0.85,13:08,137,193.6
610,0.85,12:46,138,192.9
611,0.85,12:39,137,192.9
612,0.85,11:52,137,193.6
613,0.85,11:10,138,193.6
614,0.86,10:48,137,194.2
615,0.86,11:16,137,194.2
616,0.86,11:45,136,194.2
617,0.86,12:46,137,194.9
618,0.86,13:01,137,194.9
619,0.86,13:08,138,195.5
620,0.86,12:32,138,195.5
621,0.87,12:25,137,194.9
622,0.87,11:45,137,194.9
623,0.87,12:25,137,194.2
624,0.87,12:39,137,193.6
625,0.87,13:24,137,192.9
626,0.87,13:41,137,192.3
627,0.87,14:44,138,192.3
628,0.87,14:25,139,192.9
629,0.87,14:07,140,192.9
