elapsed_seconds,distance_miles,pace_per_mile,heartrate,altitude_ft
0,0.0,,72,171.3
1,0.0,,75,171.3
2,0.0,10:31,75,170.6
3,0.01,10:03,75,170.6
4,0.01,9:56,76,170.6
5,0.01,9:30,77,171.3
6,0.01,9:43,78,171.3
7,0.01,9:30,79,171.3
8,0.01,10:00,80,171.3
9,0.02,10:28,81,171.9
10,0.02,11:27,82,171.9
11,0.02,11:45,83,171.9
12,0.02,12:32,84,172.6
13,0.02,13:32,85,172.6
14,0.02,13:49,86,173.2
15,0.02,12:53,86,173.9
16,0.03,12:25,87,173.9
17,0.03,12:39,87,174.5
18,0.03,11:52,88,175.2
19,0.03,11:52,88,175.9
20,0.03,13:01,88,175.9
21,0.03,14:16,88,176.5
22,0.03,14:34,89,176.5
23,0.03,15:24,90,176.5
24,0.03,16:21,91,176.5
25,0.03,18:22,92,177.2
26,0.04,18:07,94,177.2
27,0.04,18:37,97,177.2
28,0.04,18:22,100,177.2
29,0.04,17:25,103,177.2
30,0.04,16:09,106,177.2
31,0.04,16:21,109,177.2
32,0.04,14:07,112,176.5
33,0.04,13:16,114,176.5
54,0.04,173:02,105,175.9
55,0.05,227:18,105,175.2
56,0.05,134:06,105,175.2
57,0.05,84:36,105,175.2
58,0.05,66:23,108,175.2
59,0.05,11:16,110,175.2
60,0.05,10:43,112,175.9
61,0.05,10:18,113,175.9
62,0.06,10:48,114,176.5
63,0.06,11:39,115,176.5
64,0.06,12:11,115,177.2
65,0.06,11:45,116,177.8
66,0.06,12:18,117,177.8
67,0.06,12:32,118,177.8
68,0.06,11:58,120,178.5
69,0.07,11:45,120,178.5
70,0.07,12:11,121,179.1
71,0.07,11:58,122,179.1
72,0.07,11:33,123,179.8
73,0.07,11:27,123,179.8
74,0.07,11:27,124,179.8
75,0.07,11:45,125,179.8
76,0.08,12:18,125,179.8
77,0.08,13:08,126,179.8
78,0.08,13:08,127,179.8
79,0.08,13:49,127,180.4
80,0.08,13:16,128,181.1
81,0.08,13:08,128,181.8
82,0.08,13:16,129,182.4
83,0.08,14:07,129,183.1
84,0.08,15:46,129,183.7
105,0.09,218:04,112,183.7
106,0.09,178:48,113,183.1
107,0.09,114:08,111,183.1
108,0.09,84:36,111,183.1
109,0.09,70:35,111,183.1
110,0.09,13:01,111,183.7
111,0.09,12:18,112,183.7
112,0.09,11:58,112,183.7
113,0.1,11:45,113,184.4
114,0.1,11:05,114,184.4
115,0.1,10:59,116,184.4
116,0.1,10:59,119,184.4
117,0.1,11:21,120,185.0
118,0.1,11:33,121,185.0
119,0.11,11:27,121,185.7
120,0.11,11:52,122,185.7
121,0.11,11:45,123,185.7
122,0.11,11:16,124,186.4
123,0.11,11:16,125,186.4
124,0.11,11:21,126,186.4
125,0.11,11:27,127,186.4
126,0.12,11:39,127,187.0
127,0.12,11:58,127,187.0
128,0.12,12:04,128,187.0
129,0.12,12:11,128,187.0
130,0.12,12:18,128,187.7
131,0.12,11:52,129,187.7
132,0.12,11:52,129,187.7
133,0.12,11:45,130,188.3
134,0.13,11:52,130,188.3
135,0.13,11:58,130,189.0
136,0.13,12:11,130,189.0
137,0.13,11:52,131,189.0
138,0.13,11:52,131,189.6
139,0.13,11:58,131,189.6
140,0.13,11:45,131,189.6
141,0.14,12:04,132,189.6
142,0.14,12:32,132,190.3
143,0.14,13:41,132,190.3
144,0.14,14:07,132,190.3
145,0.14,14:07,131,190.9
146,0.14,14:25,131,190.9
147,0.14,14:25,129,191.6
148,0.14,14:16,126,191.6
149,0.15,13:49,119,191.6
150,0.15,13:41,119,192.3
151,0.15,12:53,120,192.3
152,0.15,12:32,120,192.3
153,0.15,11:33,120,192.3
154,0.15,11:52,120,192.9
155,0.15,11:39,120,192.9
156,0.15,12:11,116,193.6
157,0.16,11:58,120,193.6
158,0.16,12:11,124,194.2
159,0.16,11:21,126,194.2
160,0.16,11:16,129,194.9
161,0.16,10:59,130,194.9
162,0.16,10:54,130,194.9
163,0.17,10:43,131,195.5
164,0.17,11:27,131,195.5
165,0.17,11:39,131,195.5
166,0.17,11:52,131,195.5
167,0.17,12:39,132,196.2
168,0.17,12:53,133,196.2
169,0.17,12:32,134,196.2
170,0.17,12:32,135,196.2
171,0.18,12:18,135,196.9
172,0.18,11:45,136,196.9
173,0.18,12:11,137,196.9
174,0.18,12:25,137,196.9
175,0.18,12:53,138,196.9
176,0.18,13:01,139,197.5
177,0.18,13:24,139,197.5
178,0.19,12:04,139,198.2
179,0.19,11:52,140,198.2
180,0.19,11:45,141,198.2
181,0.19,13:24,140,198.2
182,0.19,15:04,141,198.2
183,0.19,17:11,141,198.8
184,0.19,18:07,141,198.8
185,0.19,17:52,140,198.8
186,0.19,15:57,140,198.8
187,0.2,15:04,140,198.8
188,0.2,15:14,140,199.5
189,0.2,13:16,141,199.5
190,0.2,12:11,140,199.5
191,0.2,12:04,139,199.5
192,0.2,12:18,139,200.1
193,0.2,12:32,138,200.1
194,0.2,14:25,138,200.1
195,0.21,15:57,139,200.1
196,0.21,15:35,139,200.1
197,0.21,13:49,139,200.1
198,0.21,12:39,139,200.1
199,0.21,12:11,138,200.1
200,0.21,12:11,139,200.1
201,0.21,11:39,139,200.8
202,0.22,11:33,139,200.8
203,0.22,11:05,139,200.8
204,0.22,10:33,139,200.8
205,0.22,10:23,139,201.4
206,0.22,10:28,139,201.4
207,0.22,10:28,139,202.1
208,0.22,10:54,138,202.1
209,0.23,11:58,138,202.1
210,0.23,12:18,138,202.1
211,0.23,12:39,137,201.4
212,0.23,12:53,135,202.1
213,0.23,13:01,135,202.1
214,0.23,12:39,135,202.1
215,0.23,12:32,135,202.8
216,0.23,12:25,136,202.8
217,0.24,12:32,137,202.8
218,0.24,12:18,137,202.8
219,0.24,12:04,137,202.8
220,0.24,12:18,137,202.8
221,0.24,12:46,138,202.8
222,0.24,12:46,138,202.8
223,0.24,12:32,138,202.8
224,0.25,12:39,138,202.8
225,0.25,12:32,138,202.8
226,0.25,12:18,138,202.8
227,0.25,12:11,138,202.8
228,0.25,12:53,138,202.8
229,0.25,13:01,137,202.1
230,0.25,12:53,137,202.1
231,0.25,12:32,137,202.1
232,0.26,13:08,137,202.1
233,0.26,12:39,138,202.1
234,0.26,12:32,138,202.1
235,0.26,12:11,137,202.1
236,0.26,11:52,138,201.4
237,0.26,11:45,138,201.4
238,0.26,12:04,138,201.4
239,0.27,12:04,138,201.4
240,0.27,12:18,138,201.4
241,0.27,12:39,139,202.1
242,0.27,12:11,138,202.1
243,0.27,11:39,138,201.4
244,0.27,11:45,138,201.4
245,0.27,11:27,138,201.4
246,0.28,11:05,137,200.8
247,0.28,11:16,137,200.8
248,0.28,12:04,137,200.8
249,0.28,12:11,137,200.8
250,0.28,12:53,136,200.8
251,0.28,12:53,135,200.1
252,0.28,12:32,136,200.1
253,0.29,11:45,136,200.1
254,0.29,11:21,135,199.5
255,0.29,10:54,135,199.5
256,0.29,11:16,135,200.1
257,0.29,11:58,135,200.1
258,0.29,12:32,135,199.5
259,0.29,12:25,134,199.5
260,0.3,12:11,133,199.5
261,0.3,11:52,132,199.5
262,0.3,11:16,131,200.1
263,0.3,10:59,130,200.1
264,0.3,11:16,130,200.1
265,0.3,11:33,130,200.1
266,0.3,12:25,130,200.1
267,0.31,12:18,130,199.5
268,0.31,11:58,130,199.5
269,0.31,11:27,130,199.5
270,0.31,11:10,131,199.5
271,0.31,10:48,130,199.5
272,0.31,10:59,130,199.5
273,0.31,11:10,131,199.5
274,0.32,11:33,132,199.5
275,0.32,11:45,132,199.5
276,0.32,11:52,131,199.5
277,0.32,11:45,133,199.5
278,0.32,11:45,134,199.5
279,0.32,11:33,135,199.5
280,0.32,11:27,135,199.5
281,0.33,11:39,136,198.8
282,0.33,11:45,137,198.8
283,0.33,11:58,137,198.8
284,0.33,12:32,137,198.8
285,0.33,13:08,137,198.8
286,0.33,13:08,137,198.8
287,0.33,13:41,137,198.8
288,0.33,14:07,136,198.8
289,0.34,14:07,136,198.8
290,0.34,13:24,136,198.8
291,0.34,12:53,135,198.2
292,0.34,12:46,136,197.5
293,0.34,12:39,134,197.5
294,0.34,12:53,134,197.5
295,0.34,12:39,135,197.5
296,0.35,11:58,136,197.5
297,0.35,11:39,137,197.5
298,0.35,11:21,137,196.9
