elapsed_seconds,distance_miles,pace_per_mile,heartrate,altitude_ft
0,0.0,,92,209.3
1,0.0,14:54,82,208.0
2,0.0,14:54,81,207.3
3,0.0,14:54,82,207.3
4,0.01,14:54,82,206.7
5,0.01,18:37,82,206.0
6,0.01,24:50,84,206.0
7,0.01,37:15,87,205.4
8,0.01,74:30,92,204.7
9,0.01,,93,204.1
10,0.01,53:38,93,203.4
11,0.01,36:17,94,202.8
12,0.01,16:35,95,202.1
13,0.01,14:47,97,201.4
14,0.01,14:07,98,201.4
15,0.01,17:52,100,201.4
16,0.01,19:25,101,200.8
17,0.01,23:53,106,200.8
18,0.01,20:31,105,200.1
19,0.02,16:45,104,200.1
20,0.02,11:22,104,199.5
21,0.02,11:58,104,198.8
22,0.02,15:14,104,198.2
23,0.02,15:14,106,197.5
24,0.02,19:26,109,196.9
25,0.02,22:43,110,196.9
26,0.02,18:37,110,196.2
27,0.02,18:37,110,195.5
28,0.02,22:21,111,194.9
29,0.03,15:57,111,194.9
30,0.03,17:11,112,194.2
31,0.03,15:35,111,193.6
32,0.03,12:39,112,193.6
33,0.03,11:10,112,192.9
34,0.03,11:58,112,192.9
35,0.03,13:08,113,192.3
36,0.03,13:41,113,191.6
37,0.04,14:34,113,190.9
38,0.04,9:56,114,190.3
39,0.04,8:07,114,189.6
40,0.04,7:29,115,189.6
41,0.05,7:19,115,189.0
42,0.05,6:42,115,189.0
43,0.05,8:04,115,189.0
44,0.05,9:26,117,188.3
45,0.05,10:05,116,188.3
46,0.05,10:05,116,188.3
47,0.06,11:33,117,187.7
48,0.06,14:25,118,187.7
49,0.06,15:57,119,187.0
50,0.06,15:57,119,186.4
51,0.06,17:11,120,186.4
52,0.06,17:52,120,185.7
53,0.06,19:26,118,185.7
54,0.06,20:19,116,185.7
55,0.06,23:07,117,185.7
56,0.06,25:47,117,185.0
57,0.06,32:42,118,185.0
58,0.06,21:17,118,184.4
59,0.07,20:01,120,184.4
60,0.07,17:52,120,183.7
61,0.07,15:46,120,183.7
62,0.07,13:58,120,183.1
63,0.07,15:04,121,182.4
64,0.07,16:09,121,181.8
65,0.07,15:57,121,181.8
66,0.07,16:09,122,181.1
67,0.07,16:21,122,180.4
68,0.08,15:04,122,179.8
69,0.08,13:41,122,179.1
70,0.08,13:16,122,177.8
71,0.08,12:46,123,177.2
72,0.08,11:39,123,176.5
73,0.08,11:58,124,175.9
74,0.08,11:27,124,175.2
75,0.08,13:24,124,174.5
76,0.08,15:14,125,173.9
77,0.09,17:25,126,173.2
78,0.09,18:22,127,172.6
79,0.09,20:01,126,171.9
80,0.09,18:37,126,171.3
81,0.09,15:46,126,170.6
82,0.09,15:04,126,170.6
83,0.09,11:52,126,169.9
